ijcnn  lambda = 0.1
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.0001)

SVRG: Epoch = 000, cost = 1.5944590811165680, optgap = 0.993172932970
ijcnn  lambda = 0.1
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.0001)


=================== SAGA ====================
SAGA: Epoch = 000, cost = 1.2190214539717394, optgap = 0.9978
SAGA: PASS_GRAD = 1, cost = 0.6214874426293719, optgap = 0.4002243143, time = 0.962582
SAGA: PASS_GRAD = 2, cost = 0.4531068322149862, optgap = 0.2318437039, time = 1.935313
SAGA: PASS_GRAD = 3, cost = 0.3722641108813181, optgap = 0.1510009825, time = 2.911499
SAGA: PASS_GRAD = 4, cost = 0.3044305439363974, optgap = 0.0831674156, time = 3.884584
SAGA: PASS_GRAD = 5, cost = 0.3403856177856193, optgap = 0.1191224894, time = 4.858250
SAGA: PASS_GRAD = 6, cost = 0.2511164275934208, optgap = 0.0298532992, time = 5.834816
SAGA: PASS_GRAD = 7, cost = 0.2409087319142652, optgap = 0.0196456036, time = 6.806235
SAGA: PASS_GRAD = 8, cost = 0.2923650597605223, optgap = 0.0711019314, time = 7.779526
SAGA: PASS_GRAD = 9, cost = 0.2679797321462724, optgap = 0.0467166038, time = 8.765048
SAGA: PASS_GRAD = 10, cost = 0.2687379158368717, optgap = 0.0474747875, time = 9.744892
SAGA: PASS_GRAD = 11, cost = 0.2644619420493267, optgap = 0.0431988137, time = 10.721798
SAGA: PASS_GRAD = 12, cost = 0.2467255872535225, optgap = 0.0254624589, time = 11.699613
SAGA: PASS_GRAD = 13, cost = 0.2605862842013976, optgap = 0.0393231559, time = 12.667037
SAGA: PASS_GRAD = 14, cost = 0.2629890489003189, optgap = 0.0417259206, time = 13.651058
SAGA: PASS_GRAD = 15, cost = 0.2574413359853477, optgap = 0.0361782076, time = 14.644584
SAGA: PASS_GRAD = 16, cost = 0.2415985207081507, optgap = 0.0203353924, time = 15.635774
SAGA: PASS_GRAD = 17, cost = 0.2385866819527222, optgap = 0.0173235536, time = 16.627247
SAGA: PASS_GRAD = 18, cost = 0.2373963112368920, optgap = 0.0161331829, time = 17.617448
SAGA: PASS_GRAD = 19, cost = 0.2335467093820903, optgap = 0.0122835810, time = 18.608048
SAGA: PASS_GRAD = 20, cost = 0.2251408035927504, optgap = 0.0038776752, time = 19.592518
SAGA: PASS_GRAD = 21, cost = 0.2244979122255649, optgap = 0.0032347839, time = 20.593256
SAGA: PASS_GRAD = 22, cost = 0.2245417060656877, optgap = 0.0032785777, time = 21.578136
SAGA: PASS_GRAD = 23, cost = 0.2247708525678497, optgap = 0.0035077242, time = 22.567364
SAGA: PASS_GRAD = 24, cost = 0.2242284465535460, optgap = 0.0029653182, time = 23.571398
SAGA: PASS_GRAD = 25, cost = 0.2233052506953522, optgap = 0.0020421223, time = 24.556523
SAGA: PASS_GRAD = 26, cost = 0.2230364609523556, optgap = 0.0017733326, time = 25.539318
SAGA: PASS_GRAD = 27, cost = 0.2223077348152189, optgap = 0.0010446065, time = 26.511837
SAGA: PASS_GRAD = 28, cost = 0.2219711106522964, optgap = 0.0007079823, time = 27.487672
SAGA: PASS_GRAD = 29, cost = 0.2215797676665950, optgap = 0.0003166393, time = 28.457236
SAGA: PASS_GRAD = 30, cost = 0.2214614439509040, optgap = 0.0001983156, time = 29.427918
SAGA: PASS_GRAD = 31, cost = 0.2214515181420422, optgap = 0.0001883898, time = 30.399933
SAGA: PASS_GRAD = 32, cost = 0.2213845908963545, optgap = 0.0001214625, time = 31.377333
SAGA: PASS_GRAD = 33, cost = 0.2213750560003958, optgap = 0.0001119277, time = 32.352793
SAGA: PASS_GRAD = 34, cost = 0.2214275762122384, optgap = 0.0001644479, time = 33.324941
SAGA: PASS_GRAD = 35, cost = 0.2214042791842138, optgap = 0.0001411508, time = 34.297974
SAGA: PASS_GRAD = 36, cost = 0.2213070369250283, optgap = 0.0000439086, time = 35.274828
SAGA: PASS_GRAD = 37, cost = 0.2213167053334813, optgap = 0.0000535770, time = 36.252880
SAGA: PASS_GRAD = 38, cost = 0.2213007339712652, optgap = 0.0000376056, time = 37.229734
SAGA: PASS_GRAD = 39, cost = 0.2213129619353032, optgap = 0.0000498336, time = 38.208713
SAGA: PASS_GRAD = 40, cost = 0.2213292557752626, optgap = 0.0000661274, time = 39.182699
SAGA: PASS_GRAD = 41, cost = 0.2212945388453643, optgap = 0.0000314105, time = 40.155781
SAGA: PASS_GRAD = 42, cost = 0.2213203301913774, optgap = 0.0000572018, time = 41.126781
SAGA: PASS_GRAD = 43, cost = 0.2212708580994165, optgap = 0.0000077298, time = 42.097120
SAGA: PASS_GRAD = 44, cost = 0.2212865660394718, optgap = 0.0000234377, time = 43.062645
SAGA: PASS_GRAD = 45, cost = 0.2212795041430954, optgap = 0.0000163758, time = 44.033555
SAGA: PASS_GRAD = 46, cost = 0.2212743876627036, optgap = 0.0000112593, time = 45.010437
SAGA: PASS_GRAD = 47, cost = 0.2212789437498903, optgap = 0.0000158154, time = 45.981368
SAGA: PASS_GRAD = 48, cost = 0.2212697806760944, optgap = 0.0000066523, time = 46.954581
SAGA: PASS_GRAD = 49, cost = 0.2212697441275349, optgap = 0.0000066158, time = 47.927469
SAGA: PASS_GRAD = 50, cost = 0.2212647914802022, optgap = 0.0000016631, time = 48.898982
SAGA: PASS_GRAD = 51, cost = 0.2212669534493154, optgap = 0.0000038251, time = 49.874445
SAGA: PASS_GRAD = 52, cost = 0.2212657300065857, optgap = 0.0000026017, time = 50.851812
SAGA: PASS_GRAD = 53, cost = 0.2212661799597091, optgap = 0.0000030516, time = 51.825518
SAGA: PASS_GRAD = 54, cost = 0.2212648636646372, optgap = 0.0000017353, time = 52.797109
SAGA: PASS_GRAD = 55, cost = 0.2212650169101116, optgap = 0.0000018886, time = 53.764635
SAGA: PASS_GRAD = 56, cost = 0.2212638455429305, optgap = 0.0000007172, time = 54.735784
SAGA: PASS_GRAD = 57, cost = 0.2212636213376923, optgap = 0.0000004930, time = 55.704285
SAGA: PASS_GRAD = 58, cost = 0.2212638701663084, optgap = 0.0000007418, time = 56.673116
SAGA: PASS_GRAD = 59, cost = 0.2212636476038447, optgap = 0.0000005193, time = 57.646012
SAGA: PASS_GRAD = 60, cost = 0.2212633439663776, optgap = 0.0000002156, time = 58.617397
SAGA: PASS_GRAD = 61, cost = 0.2212632733060136, optgap = 0.0000001450, time = 59.591560
SAGA: PASS_GRAD = 62, cost = 0.2212633057038325, optgap = 0.0000001774, time = 60.561615
SAGA: PASS_GRAD = 63, cost = 0.2212631815535936, optgap = 0.0000000532, time = 61.535113
SAGA: PASS_GRAD = 64, cost = 0.2212633033762347, optgap = 0.0000001750, time = 62.530652
SAGA: PASS_GRAD = 65, cost = 0.2212632203763875, optgap = 0.0000000920, time = 63.528693
SAGA: PASS_GRAD = 66, cost = 0.2212631901877038, optgap = 0.0000000618, time = 64.516215
SAGA: PASS_GRAD = 67, cost = 0.2212632255293129, optgap = 0.0000000972, time = 65.642273
SAGA: PASS_GRAD = 68, cost = 0.2212631834367085, optgap = 0.0000000551, time = 66.624975
SAGA: PASS_GRAD = 69, cost = 0.2212631931763729, optgap = 0.0000000648, time = 67.607502
SAGA: PASS_GRAD = 70, cost = 0.2212631656994232, optgap = 0.0000000374, time = 68.589648
SAGA: PASS_GRAD = 71, cost = 0.2212631598209175, optgap = 0.0000000315, time = 69.567203
SAGA: PASS_GRAD = 72, cost = 0.2212631521954328, optgap = 0.0000000238, time = 70.551947
SAGA: PASS_GRAD = 73, cost = 0.2212631363996926, optgap = 0.0000000081, time = 71.533142
SAGA: PASS_GRAD = 74, cost = 0.2212631381121576, optgap = 0.0000000098, time = 72.508183
SAGA: PASS_GRAD = 75, cost = 0.2212631372471217, optgap = 0.0000000089, time = 73.502457
SAGA: PASS_GRAD = 76, cost = 0.2212631314820335, optgap = 0.0000000031, time = 74.534342
SAGA: PASS_GRAD = 77, cost = 0.2212631303778704, optgap = 0.0000000020, time = 75.557734
SAGA: PASS_GRAD = 78, cost = 0.2212631310928464, optgap = 0.0000000027, time = 76.685453
SAGA: PASS_GRAD = 79, cost = 0.2212631298795194, optgap = 0.0000000015, time = 77.701156
SAGA: PASS_GRAD = 80, cost = 0.2212631295665406, optgap = 0.0000000012, time = 78.683874
SAGA: PASS_GRAD = 81, cost = 0.2212631293822103, optgap = 0.0000000010, time = 79.678494
SAGA: PASS_GRAD = 82, cost = 0.2212631297705101, optgap = 0.0000000014, time = 80.661917
SAGA: PASS_GRAD = 83, cost = 0.2212631291340522, optgap = 0.0000000008, time = 81.658920
SAGA: PASS_GRAD = 84, cost = 0.2212631290102262, optgap = 0.0000000007, time = 82.639271
SAGA: PASS_GRAD = 85, cost = 0.2212631293431146, optgap = 0.0000000010, time = 83.627617
SAGA: PASS_GRAD = 86, cost = 0.2212631290101509, optgap = 0.0000000007, time = 84.636568
SAGA: PASS_GRAD = 87, cost = 0.2212631291479357, optgap = 0.0000000008, time = 85.642313
SAGA: PASS_GRAD = 88, cost = 0.2212631287660516, optgap = 0.0000000004, time = 86.634637
SAGA: PASS_GRAD = 89, cost = 0.2212631293718336, optgap = 0.0000000010, time = 87.619120
SAGA: PASS_GRAD = 90, cost = 0.2212631290293304, optgap = 0.0000000007, time = 88.605265
SAGA: PASS_GRAD = 91, cost = 0.2212631286508035, optgap = 0.0000000003, time = 89.591562
SAGA: PASS_GRAD = 92, cost = 0.2212631285623349, optgap = 0.0000000002, time = 90.577726
SAGA: PASS_GRAD = 93, cost = 0.2212631284314312, optgap = 0.0000000001, time = 91.565214
SAGA: PASS_GRAD = 94, cost = 0.2212631284581765, optgap = 0.0000000001, time = 92.556515
SAGA: PASS_GRAD = 95, cost = 0.2212631284796038, optgap = 0.0000000001, time = 93.545807
SAGA: PASS_GRAD = 96, cost = 0.2212631285035884, optgap = 0.0000000002, time = 94.542600
SAGA: PASS_GRAD = 97, cost = 0.2212631284976791, optgap = 0.0000000001, time = 95.547058
SAGA: PASS_GRAD = 98, cost = 0.2212631283943784, optgap = 0.0000000000, time = 96.546884
SAGA: PASS_GRAD = 99, cost = 0.2212631283756844, optgap = 0.0000000000, time = 97.540031
SAGA: PASS_GRAD = 100, cost = 0.2212631283827847, optgap = 0.0000000000, time = 98.540996
Max epoch reached: max_epochr = 100
=================== SVRG ====================
SVRG: Epoch = 000, cost = 0.7990994905098123, optgap = 0.577836362161
SVRG: epoch = 001, cost = 0.2535501614868884, optgap = 0.0322870331, time = 3.559492
SVRG: epoch = 002, cost = 0.2336429849326683, optgap = 0.0123798566, time = 7.033489
SVRG: epoch = 003, cost = 0.2268738244029352, optgap = 0.0056106961, time = 10.583313
SVRG: epoch = 004, cost = 0.2240431892872668, optgap = 0.0027800609, time = 14.073482
SVRG: epoch = 005, cost = 0.2227339430314687, optgap = 0.0014708147, time = 17.553754
SVRG: epoch = 006, cost = 0.2220805768837020, optgap = 0.0008174485, time = 21.042893
SVRG: epoch = 007, cost = 0.2217372638587282, optgap = 0.0004741355, time = 24.527811
SVRG: epoch = 008, cost = 0.2215481885873811, optgap = 0.0002850602, time = 28.046737
SVRG: epoch = 009, cost = 0.2214395866392671, optgap = 0.0001764583, time = 31.560089
SVRG: epoch = 010, cost = 0.2213751236458679, optgap = 0.0001119953, time = 35.064720
SVRG: epoch = 011, cost = 0.2213357212254753, optgap = 0.0000725929, time = 38.558290
SVRG: epoch = 012, cost = 0.2213109316037761, optgap = 0.0000478033, time = 42.058365
SVRG: epoch = 013, cost = 0.2212950446169789, optgap = 0.0000319163, time = 45.587201
SVRG: epoch = 014, cost = 0.2212846821257710, optgap = 0.0000215538, time = 49.091000
SVRG: epoch = 015, cost = 0.2212778119095623, optgap = 0.0000146836, time = 52.616988
SVRG: epoch = 016, cost = 0.2212731968454112, optgap = 0.0000100685, time = 56.152775
SVRG: epoch = 017, cost = 0.2212700680632564, optgap = 0.0000069397, time = 59.703363
SVRG: epoch = 018, cost = 0.2212679300505027, optgap = 0.0000048017, time = 63.211495
SVRG: epoch = 019, cost = 0.2212664609701533, optgap = 0.0000033326, time = 66.785550
SVRG: epoch = 020, cost = 0.2212654470572099, optgap = 0.0000023187, time = 70.354900
SVRG: epoch = 021, cost = 0.2212647441463020, optgap = 0.0000016158, time = 73.849825
SVRG: epoch = 022, cost = 0.2212642555621125, optgap = 0.0000011272, time = 77.400547
SVRG: epoch = 023, cost = 0.2212639159097478, optgap = 0.0000007876, time = 80.917206
SVRG: epoch = 024, cost = 0.2212636788612329, optgap = 0.0000005505, time = 84.412990
SVRG: epoch = 025, cost = 0.2212635135462975, optgap = 0.0000003852, time = 88.015123
SVRG: epoch = 026, cost = 0.2212633979997420, optgap = 0.0000002697, time = 91.888961
SVRG: epoch = 027, cost = 0.2212633171087181, optgap = 0.0000001888, time = 95.584837
SVRG: epoch = 028, cost = 0.2212632605329876, optgap = 0.0000001322, time = 99.431877
SVRG: epoch = 029, cost = 0.2212632209389271, optgap = 0.0000000926, time = 103.126684
SVRG: epoch = 030, cost = 0.2212631932224728, optgap = 0.0000000649, time = 106.749938
SVRG: epoch = 031, cost = 0.2212631737801894, optgap = 0.0000000454, time = 110.469838
SVRG: epoch = 032, cost = 0.2212631601794448, optgap = 0.0000000318, time = 114.279177
SVRG: epoch = 033, cost = 0.2212631506483000, optgap = 0.0000000223, time = 118.569742
SVRG: epoch = 034, cost = 0.2212631439702465, optgap = 0.0000000156, time = 122.324794
SVRG: epoch = 035, cost = 0.2212631392973525, optgap = 0.0000000109, time = 126.180163
SVRG: epoch = 036, cost = 0.2212631360203621, optgap = 0.0000000077, time = 129.801135
